City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mugumu,-1.85,34.7,16.51,79,59,2.17,TZ,1698722037
1,tenno,39.9,139.9667,16.01,63,48,1.43,JP,1698722037
2,betio village,1.358,172.9211,30.02,73,96,1.45,KI,1698722037
3,luderitz,-26.6481,15.1594,16.28,47,2,2.56,NA,1698721425
4,waitangi,-43.9535,-176.5597,14.34,83,100,5.81,NZ,1698721465
5,south hedland,-20.4089,118.5983,29.96,70,11,5.14,AU,1698722038
6,enewetak,11.3474,162.3373,28.33,80,100,7.67,MH,1698721487
7,ghat,24.9647,10.1728,22.15,21,0,1.22,LY,1698722038
8,longyearbyen,78.2186,15.6401,0.91,75,75,7.2,SJ,1698721471
9,puerto natales,-51.7236,-72.4875,0.45,77,1,1.75,CL,1698721393
10,bilibino,68.0546,166.4372,-15.73,78,70,1.25,RU,1698721471
11,nagqu,31.5,92.0,-3.66,64,47,2.65,CN,1698722038
12,point pedro,9.8167,80.2333,28.7,68,65,4.59,LK,1698722038
13,motueka,-41.1333,173.0167,20.6,55,18,3.31,NZ,1698722038
14,edinburgh of the seven seas,-37.0676,-12.3116,13.83,95,100,12.36,SH,1698722039
15,shippensburg,40.0507,-77.5203,10.02,78,96,0.89,US,1698722039
16,prakhon chai,14.6059,103.1208,26.55,79,86,5.8,TH,1698722039
17,blackmans bay,-43.0167,147.3167,16.07,49,81,1.34,AU,1698721466
18,adamstown,-25.066,-130.1015,23.0,76,100,3.06,PN,1698721460
19,qaqortoq,60.7167,-46.0333,5.61,61,99,11.73,GL,1698721416
20,aswan,24.0934,32.907,25.66,53,0,1.72,EG,1698722022
21,college,64.8569,-147.8028,-0.01,86,75,0.0,US,1698721201
22,west island,-12.1568,96.8225,27.99,78,75,6.69,CC,1698721409
23,udachny,66.4167,112.4,-20.09,97,100,2.72,RU,1698721468
24,iqaluit,63.7506,-68.5145,-12.15,78,75,7.72,CA,1698721474
25,port-aux-francais,-49.35,70.2167,3.8,89,100,17.02,TF,1698721555
26,hithadhoo,-0.6,73.0833,26.99,80,100,4.88,MV,1698721477
27,walvis bay,-22.9575,14.5053,13.71,89,0,2.03,NA,1698722039
28,narrabri,-30.3167,149.7833,34.18,18,73,1.79,AU,1698722040
29,ha giang,22.8333,104.9833,27.19,64,100,0.93,VN,1698722040
30,bredasdorp,-34.5322,20.0403,13.16,80,0,5.24,ZA,1698721458
31,sidney,-33.8679,151.2073,32.56,17,0,3.58,AU,1698721996
32,jamestown,42.097,-79.2353,3.73,80,100,3.6,US,1698721341
33,bairnsdale,-37.8333,147.6167,16.7,54,75,4.02,AU,1698722040
34,valera,9.3178,-70.6036,22.04,93,64,2.05,VE,1698722040
35,isafjordur,66.0755,-23.124,1.52,72,38,1.69,IS,1698721482
36,georgetown,5.4112,100.3354,31.96,66,20,1.54,MY,1698721924
37,alofi,-19.0595,-169.9187,25.94,69,75,6.17,NU,1698721536
38,la carolina,38.2756,-3.6153,9.51,68,100,1.97,ES,1698722040
39,santa luzia,-19.7697,-43.8514,24.5,80,100,1.52,BR,1698722040
40,lebu,-37.6167,-73.65,7.36,82,94,3.91,CL,1698721475
41,margaret river,-33.95,115.0667,19.7,40,61,0.37,AU,1698721489
42,arraial do cabo,-22.9661,-42.0278,24.17,91,100,2.41,BR,1698722038
43,san pedro pochutla,15.7333,-96.4667,24.86,84,94,1.25,MX,1698721549
44,el bauga,18.262,33.9081,25.38,62,22,3.23,SD,1698722041
45,codrington,-38.2667,141.9667,13.95,50,81,7.04,AU,1698721474
46,bankim,6.083,11.4905,20.06,89,97,0.47,CM,1698721883
47,port hedland,-20.3167,118.5667,30.03,70,7,5.14,AU,1698722041
48,swakopmund,-22.6833,14.5333,13.93,89,0,1.86,NA,1698722042
49,krasnopavlivka,49.1372,36.3272,10.33,87,55,4.24,UA,1698722042
50,yellowknife,62.456,-114.3525,-2.55,99,75,2.06,CA,1698721475
51,ust-nera,64.5667,143.2,-11.93,98,100,2.31,RU,1698721483
52,invercargill,-46.4,168.35,15.01,78,100,2.24,NZ,1698721467
53,cidreira,-30.1811,-50.2056,19.44,93,100,3.68,BR,1698721879
54,port lincoln,-34.7333,135.8667,15.9,46,30,5.09,AU,1698721472
55,duba,27.3513,35.6901,26.33,58,0,2.61,SA,1698722043
56,sao jose da coroa grande,-8.8978,-35.1478,24.21,73,71,2.88,BR,1698721539
57,ushuaia,-54.8,-68.3,2.81,70,75,6.69,AR,1698721468
58,pariaman,-0.619,100.12,27.03,77,95,1.84,ID,1698722044
59,nemuro,43.3236,145.575,11.85,72,14,5.62,JP,1698721528
60,grytviken,-54.2811,-36.5092,2.74,82,88,2.98,GS,1698722044
61,kruisfontein,-34.0033,24.7314,9.92,91,0,2.24,ZA,1698721549
62,stanley,54.868,-1.6985,7.09,95,75,2.57,GB,1698721459
63,la punta,-33.1837,-66.3127,11.47,42,94,5.87,AR,1698722044
64,rongelap,11.1635,166.8941,28.58,78,87,9.18,MH,1698721487
65,minas de marcona,-15.2119,-75.1103,14.81,84,70,5.31,PE,1698722045
66,belmonte,-15.8631,-38.8828,23.61,75,92,3.27,BR,1698721529
67,kushiro,42.975,144.3747,12.59,75,95,2.29,JP,1698721754
68,geraldton,-28.7667,114.6,31.23,16,0,8.23,AU,1698721356
69,wanning,18.8003,110.3967,26.9,77,86,6.11,CN,1698721786
70,talodi,10.6325,30.3797,24.17,80,81,1.81,SD,1698722046
71,zabol,32.25,67.25,13.79,32,6,1.13,AF,1698721979
72,princeville,45.7668,-61.2985,4.22,96,100,2.57,CA,1698722046
73,tidjikja,18.5564,-11.4271,27.97,13,15,4.35,MR,1698722047
74,pikalevo,59.5183,34.1664,-7.38,100,65,0.73,RU,1698722047
75,bethel,41.3712,-73.414,9.45,77,100,2.57,US,1698721472
76,huoqiu chengguanzhen,32.3547,116.2939,26.26,37,0,2.46,CN,1698722047
77,aoulef,26.9667,1.0833,28.07,15,13,3.82,DZ,1698722047
78,olonkinbyen,70.9221,-8.7187,1.89,75,100,5.07,SJ,1698722048
79,tiksi,71.6872,128.8694,-20.28,100,85,1.02,RU,1698721484
80,ponnani,10.767,75.9252,24.62,85,100,2.4,IN,1698722048
81,tangalle,6.024,80.7911,26.09,76,83,0.56,LK,1698722048
82,puerto ayora,-0.7393,-90.3518,23.64,91,100,1.34,EC,1698721461
83,aydarken,39.9443,71.3429,10.17,51,100,1.09,KG,1698722049
84,bathsheba,13.2167,-59.5167,28.34,83,20,4.63,BB,1698722049
85,olinda,-8.0089,-34.8553,25.85,73,40,5.14,BR,1698722049
86,pirallahi,40.4723,50.333,14.08,74,50,5.38,AZ,1698722049
87,kodiak,57.79,-152.4072,7.18,96,100,4.7,US,1698721325
88,dunedin,-45.8742,170.5036,15.45,75,100,3.13,NZ,1698721356
89,wailua homesteads,22.0669,-159.378,26.44,75,75,3.6,US,1698721464
90,new norfolk,-42.7826,147.0587,16.72,44,92,5.43,AU,1698721460
91,dudinka,69.4058,86.1778,-16.32,97,98,0.89,RU,1698721463
92,bereznik,62.8551,42.7072,-5.96,91,84,1.14,RU,1698722050
93,yuzhno-kurilsk,44.0306,145.8556,11.32,81,21,5.15,RU,1698721518
94,papatowai,-46.5619,169.4708,14.9,66,100,2.51,NZ,1698721461
95,cambria,35.5641,-121.0808,17.21,38,0,0.89,US,1698722051
96,pathein,16.7833,94.7333,27.4,79,98,5.08,MM,1698722051
97,camana,-16.6228,-72.7111,18.94,89,59,4.35,PE,1698722051
98,kirakira,-10.4544,161.9205,29.24,75,37,4.79,SB,1698722026
99,lepsy,46.235,78.9456,16.73,52,100,9.11,KZ,1698722051
100,touros,-5.1989,-35.4608,25.26,72,48,5.08,BR,1698721532
101,okhotsk,59.3833,143.3,-0.54,95,100,4.96,RU,1698721496
102,puerto bolivar,-3.2667,-79.9833,23.69,87,100,2.41,EC,1698722052
103,karlskrona,56.1616,15.5866,6.25,94,99,2.82,SE,1698722052
104,fort mcmurray,56.7268,-111.381,-3.23,68,100,2.06,CA,1698721207
105,puerto baquerizo moreno,-0.9,-89.6,23.26,81,100,4.08,EC,1698722052
106,hermanus,-34.4187,19.2345,13.37,81,26,7.07,ZA,1698721383
107,fasa,28.9383,53.6482,13.58,54,40,3.09,IR,1698722052
108,chibougamau,49.9168,-74.3659,-6.21,86,40,2.57,CA,1698721470
109,durango,24.8333,-104.8333,10.55,89,94,2.24,MX,1698721789
110,aasiaat,68.7098,-52.8699,-7.8,83,39,5.5,GL,1698721400
111,haiku-pauwela,20.9219,-156.3051,26.13,76,20,6.69,US,1698721488
112,vila do maio,15.1333,-23.2167,25.44,74,44,3.2,CV,1698722053
113,utrik,11.2278,169.8474,28.21,79,100,7.97,MH,1698721390
114,vila franca do campo,37.7167,-25.4333,19.23,99,67,4.63,PT,1698721545
115,vilyuchinsk,52.9306,158.4028,7.15,58,16,4.41,RU,1698721391
116,albany,42.6001,-73.9662,5.85,82,100,3.74,US,1698721293
117,beledweyne,4.7358,45.2036,25.22,84,13,2.59,SO,1698722054
118,susuman,62.7833,148.1667,-13.34,94,82,0.45,RU,1698721439
119,douma,33.5718,36.4027,16.69,46,100,1.01,SY,1698722054
120,lorengau,-2.0226,147.2712,28.41,74,81,4.23,PG,1698722054
121,den burg,53.0542,4.7972,11.1,94,75,5.14,NL,1698722054
122,whitehorse,60.7161,-135.0538,1.43,93,100,2.57,CA,1698721469
123,klaksvik,62.2266,-6.589,3.51,58,86,8.08,FO,1698721460
124,la passe,45.5549,-0.8967,15.55,83,60,10.78,FR,1698722018
125,xining,36.6167,101.7667,9.99,26,0,0.37,CN,1698721496
126,lichinga,-13.3128,35.2406,20.05,77,100,5.14,MZ,1698722055
127,port mathurin,-19.6833,63.4167,24.55,80,38,8.69,MU,1698721480
128,mount gambier,-37.8333,140.7667,14.3,46,82,4.21,AU,1698721543
129,akjoujt,19.6969,-14.4164,27.76,17,5,3.27,MR,1698722055
130,lihue,21.9789,-159.3672,25.76,83,83,2.51,US,1698721422
131,puerto rico,-26.796,-55.024,18.86,99,60,0.72,AR,1698722055
132,punta arenas,-53.15,-70.9167,3.06,60,0,4.63,CL,1698721376
133,banda aceh,5.5577,95.3222,28.47,71,94,0.73,ID,1698721405
134,hawaiian paradise park,19.5933,-154.9731,26.04,88,100,3.09,US,1698721393
135,el rosario,24.2556,-107.1828,23.0,84,0,2.77,MX,1698722056
136,port alfred,-33.5906,26.891,14.3,80,21,6.8,ZA,1698721483
137,fortuna,40.5982,-124.1573,9.51,75,0,0.0,US,1698721431
138,thompson,55.7435,-97.8558,-6.91,79,100,2.57,CA,1698721479
139,asan-maina village,13.4722,144.7165,31.39,78,75,6.17,GU,1698722056
140,anadyr,64.75,177.4833,1.67,93,40,3.0,RU,1698721496
141,weno,7.4515,151.8468,30.97,74,75,2.06,FM,1698722057
142,kimberley,-28.7323,24.7623,7.83,87,0,1.54,ZA,1698722057
143,gazojak,41.1875,61.4036,10.5,81,0,4.09,TM,1698722057
144,bandarbeyla,9.4942,50.8122,26.34,83,99,5.55,SO,1698721460
145,monrovia,6.3005,-10.7969,25.56,87,6,2.57,LR,1698721235
146,fort bragg,35.139,-79.006,21.91,75,0,2.06,US,1698721359
147,riverton,40.5219,-111.9391,3.58,58,0,1.54,US,1698721808
148,lincoln city,44.9582,-124.0179,11.5,73,3,2.69,US,1698722058
149,atar,20.5169,-13.0499,28.22,18,14,1.54,MR,1698722058
150,sitka,57.0531,-135.33,6.05,90,100,1.86,US,1698721267
151,khorugh,37.4897,71.553,9.38,57,17,1.19,TJ,1698722058
152,basco,20.4487,121.9702,27.02,71,78,9.92,PH,1698722058
153,revda,56.801,59.9303,-4.96,95,95,1.02,RU,1698722059
154,beau vallon,-20.4189,57.6953,26.23,88,40,1.03,MU,1698721515
155,san patricio,28.017,-97.5169,8.43,72,100,6.04,US,1698721476
156,celestun,20.8667,-90.4,25.55,80,3,4.99,MX,1698722059
157,chesma,53.8111,60.6533,-3.85,90,37,2.43,RU,1698722059
158,illizi,26.4833,8.4667,19.89,18,0,3.76,DZ,1698721272
159,tazovsky,67.4667,78.7,-17.06,97,34,2.55,RU,1698722059
160,iskateley,67.6803,53.1512,-10.55,97,89,2.68,RU,1698721541
161,ancud,-41.8697,-73.8203,4.87,89,11,2.74,CL,1698721472
162,geiro,-6.15,36.8667,17.58,94,99,2.3,TZ,1698722060
163,laguna,38.421,-121.4238,16.14,50,0,0.0,US,1698721225
164,pisco,-13.7,-76.2167,19.45,82,15,7.2,PE,1698721411
165,zaozersk,69.4005,32.4476,-6.15,95,100,3.04,RU,1698721483
166,santana,-0.0583,-51.1817,28.1,74,0,3.09,BR,1698722060
167,miracema do tocantins,-9.5618,-48.3967,27.75,34,24,1.31,BR,1698722060
168,potam,27.6,-110.3833,25.37,46,0,5.95,MX,1698722061
169,ribeira grande,38.5167,-28.7,19.87,84,41,6.71,PT,1698722061
170,nar'yan-mar,67.6713,53.087,-10.5,97,88,2.68,RU,1698721517
171,atafu village,-8.5421,-172.5159,29.14,73,26,6.45,TK,1698721501
172,vorgashor,67.5833,63.95,-10.12,95,100,4.27,RU,1698722061
173,east london,-33.0153,27.9116,13.09,87,24,4.29,ZA,1698722061
174,vanino,49.0869,140.2543,7.18,38,88,2.47,RU,1698722061
175,caleta de carquin,-11.0925,-77.6267,19.53,88,99,4.1,PE,1698722062
176,bulungu,-4.55,18.6,20.75,98,100,1.08,CD,1698722062
177,mazagao,-0.115,-51.2894,28.03,84,2,1.79,BR,1698722062
178,ola,59.5833,151.2833,0.08,65,22,2.48,RU,1698721518
179,kalifornsky,60.4183,-151.29,5.19,76,0,1.54,US,1698722062
180,el khroub,36.2633,6.6936,14.49,67,40,2.06,DZ,1698722063
181,verkhnevilyuysk,63.4453,120.3167,-11.34,91,84,0.36,RU,1698722063
182,saipan,15.1355,145.701,31.39,74,75,6.69,MP,1698721470
183,borgo,46.0514,11.4544,15.34,94,96,1.96,IT,1698721934
184,bakanas,44.8081,76.2772,15.3,59,100,10.51,KZ,1698722064
185,tura,25.5198,90.2201,25.37,68,64,0.51,IN,1698721477
186,gorontalo,0.5412,123.0595,33.34,49,50,3.97,ID,1698722064
187,neryungri,56.6709,124.6491,-14.2,85,100,1.01,RU,1698722064
188,queenstown,-31.8976,26.8753,6.18,83,48,1.03,ZA,1698721987
189,mana,5.6592,-53.7767,26.56,86,8,4.37,GF,1698722065
190,muana,-1.5283,-49.2167,25.66,80,3,2.05,BR,1698722027
191,carnarvon,-24.8667,113.6333,26.51,46,0,4.24,AU,1698721434
192,gualeguay,-33.1416,-59.3097,11.45,82,31,3.14,AR,1698722065
193,sarmiento,-45.5882,-69.07,5.49,54,62,5.88,AR,1698722058
194,ulladulla,-35.35,150.4667,24.87,37,0,6.52,AU,1698721553
195,prince albert,53.2001,-105.7677,-11.03,79,0,4.12,CA,1698722066
196,verkhneural'sk,53.8769,59.2106,-2.19,89,99,3.71,RU,1698722059
197,nema,57.5067,50.5011,-3.75,97,99,2.82,RU,1698721521
198,rey bouba,8.6724,14.1786,23.64,85,91,0.71,CM,1698722066
199,petropavlovsk-kamchatsky,53.0452,158.6483,6.33,62,0,5.36,RU,1698721841
200,kingsville,27.5159,-97.8561,8.1,85,100,4.12,US,1698722067
201,badger,64.8,-147.5333,-0.05,91,75,0.0,US,1698721476
202,isiro,2.7739,27.616,19.23,98,100,1.26,CD,1698722067
203,hamilton,39.1834,-84.5333,4.11,81,100,3.6,US,1698721828
204,saint-joseph,-21.3667,55.6167,26.21,73,11,3.67,RE,1698722068
205,gadzhiyevo,69.2551,33.3362,-5.67,93,100,5.06,RU,1698721490
206,talnakh,69.4865,88.3972,-16.55,96,100,2.12,RU,1698722068
207,middelburg,-25.7751,29.4648,6.97,87,100,4.37,ZA,1698722068
208,charlottetown,46.2352,-63.1267,2.16,98,100,0.89,CA,1698722068
209,remire-montjoly,4.9167,-52.2667,27.02,94,75,0.0,GF,1698722069
210,poronaysk,49.2167,143.1167,11.04,48,12,4.63,RU,1698721551
211,coari,-4.085,-63.1414,27.9,62,60,2.33,BR,1698722069
212,vidigueira,38.1845,-7.7447,11.23,75,100,1.4,PT,1698722069
213,palmerston,-12.486,130.9833,34.38,62,75,1.54,AU,1698722070
214,las heras,-46.5419,-68.9359,4.25,41,58,4.31,AR,1698721549
215,avarua,-21.2078,-159.775,24.03,69,75,5.66,CK,1698722070
216,newnham,-41.3833,147.1333,16.53,36,40,6.69,AU,1698722070
217,ilagan,17.1485,121.8892,28.72,68,74,2.35,PH,1698722070
218,mejit,10.2753,170.8646,28.23,79,98,8.56,MH,1698721556
219,vadso,70.0744,29.7487,0.09,80,75,4.12,NO,1698721552
220,gisborne,-38.6533,178.0042,16.0,97,100,5.13,NZ,1698721554
221,nambucca heads,-30.65,153.0,35.09,69,71,3.96,AU,1698722071
222,la ronge,55.1001,-105.2842,-10.86,79,0,1.54,CA,1698721540
223,ilulissat,69.2167,-51.1,2.01,51,7,7.2,GL,1698722071
224,port elizabeth,-33.918,25.5701,15.16,83,0,5.14,ZA,1698721216
225,aktau,43.65,51.2,10.32,70,0,4.19,KZ,1698722072
226,devils lake,48.1128,-98.8651,-7.25,79,0,9.77,US,1698722072
227,bure,10.7,37.0667,13.0,95,96,1.11,ET,1698722072
228,westport,41.1415,-73.3579,11.29,80,100,3.6,US,1698721935
229,ovalle,-30.5983,-71.2003,17.23,55,86,0.82,CL,1698722073
230,tecozautla,20.5333,-99.6333,14.79,84,12,3.44,MX,1698722073
231,grand falls-windsor,48.9332,-55.6649,0.84,88,98,1.04,CA,1698722073
232,margate,51.3813,1.3862,8.16,96,7,3.36,GB,1698721274
233,quthing,-30.4,27.7003,7.9,63,100,1.11,LS,1698722073
234,kapuskasing,49.4169,-82.4331,-5.95,93,0,3.09,CA,1698721494
235,miyaly,48.8844,53.7836,3.66,81,94,3.78,KZ,1698722074
236,lagoa,39.05,-27.9833,18.98,82,17,12.09,PT,1698722074
237,kirishi,59.4471,32.0205,-3.87,99,49,0.37,RU,1698722074
238,kayangel,8.0823,134.7173,28.78,74,11,2.93,PW,1698722074
239,lompoc,34.6391,-120.4579,16.08,89,0,1.54,US,1698721239
240,al wafrah,28.6392,47.9306,21.93,60,35,1.75,KW,1698722074
241,borogontsy,62.6683,131.1683,-11.27,87,100,3.6,RU,1698722075
242,berbera,10.4396,45.0143,27.85,75,23,3.86,SO,1698722075
243,uturoa,-16.7333,-151.4333,26.41,80,10,8.07,PF,1698721496
244,qarauyl,48.9451,79.255,5.98,89,100,4.78,KZ,1698722076
245,kozhikode,11.25,75.7667,24.65,85,100,1.16,IN,1698722076
246,cockburn town,21.4612,-71.1419,28.7,80,97,5.89,TC,1698722076
247,katabu,-4.9333,122.5167,34.81,37,16,1.77,ID,1698722076
248,port saint john's,-31.6229,29.5448,14.86,87,100,3.06,ZA,1698721491
249,solnechnyy,50.7214,136.6319,0.57,51,73,2.28,RU,1698722077
250,juneau,58.3019,-134.4197,4.0,100,100,0.0,US,1698722077
251,akureyri,65.6835,-18.0878,-8.04,93,35,0.0,IS,1698721440
252,kone,-21.0595,164.8658,26.26,49,26,4.01,NC,1698721508
253,qarqaraly,49.4058,75.4742,3.67,91,100,4.45,KZ,1698722078
254,aykhal,66.0,111.5,-21.0,99,99,3.32,RU,1698721434
255,tolanaro,-25.0319,46.9987,24.04,88,75,0.0,MG,1698721478
256,newman,37.3138,-121.0208,16.27,38,5,0.89,US,1698721395
257,mo i rana,66.3128,14.1428,-8.15,87,2,2.57,NO,1698722078
258,skidel',53.5904,24.2478,7.08,100,86,2.0,BY,1698722078
259,dryden,49.7833,-92.7503,-3.84,93,75,2.06,CA,1698722079
260,kaga bandoro,6.9896,19.1874,22.05,81,97,1.13,CF,1698722079
261,corn island,12.1694,-83.0418,27.96,75,94,3.04,NI,1698722079
262,romorantin-lanthenay,47.4167,1.8333,10.81,93,75,3.6,FR,1698722079
263,tralee,52.2704,-9.7026,9.93,88,85,2.37,IE,1698722021
264,barra da estiva,-13.6261,-41.3269,20.96,45,98,1.87,BR,1698722079
265,tindouf,27.6711,-8.1474,21.25,30,0,2.57,DZ,1698722079
266,kingston,17.997,-76.7936,27.53,87,75,2.57,JM,1698721487
267,veydelevka,50.1521,38.4492,10.32,82,91,5.13,RU,1698722079
268,chonchi,-42.6128,-73.8092,2.84,96,4,0.58,CL,1698722019
269,pandan,14.0453,124.1694,27.44,87,100,7.03,PH,1698721546
270,saldanha,-33.0117,17.9442,16.03,68,2,4.59,ZA,1698722080
271,tazacorte,28.629,-17.9293,22.54,91,0,3.13,ES,1698722080
272,kijang,35.2442,129.2139,21.85,40,0,2.41,KR,1698722080
273,florida city,25.4479,-80.4792,26.12,90,0,1.91,US,1698722080
274,montrose,38.4166,-108.2673,-6.33,38,0,0.92,US,1698722080
275,natal,-5.795,-35.2094,24.36,83,40,1.54,BR,1698721887
276,kibondo,-3.5864,30.7203,17.04,77,100,0.96,TZ,1698722081
277,taltal,-25.4,-70.4833,17.83,72,9,1.47,CL,1698721492
278,manokwari,-0.8667,134.0833,27.62,77,98,2.83,ID,1698722066
279,paracuru,-3.41,-39.0306,26.73,75,46,4.11,BR,1698721507
280,waspan,14.7419,-83.9717,23.61,97,81,0.63,NI,1698722081
281,kimbe,-5.5502,150.1429,26.33,88,100,1.32,PG,1698722081
282,yeppoon,-23.1333,150.7333,32.88,53,0,6.8,AU,1698722078
283,sola,-13.8833,167.55,29.37,84,100,1.03,VU,1698722010
284,nhamunda,-2.1861,-56.7131,26.28,64,100,1.19,BR,1698722081
285,ambon,-3.6954,128.1814,31.08,70,40,2.57,ID,1698721845
286,happy valley-goose bay,53.3168,-60.3315,-2.83,59,20,5.14,CA,1698721540
287,paita,-5.0892,-81.1144,20.17,85,43,5.87,PE,1698721545
288,carutapera,-1.195,-46.02,26.05,82,55,2.98,BR,1698722082
289,gebeit,21.0667,36.3167,22.21,80,0,2.34,SD,1698722082
290,bratsk,56.1325,101.6142,-8.73,62,41,3.19,RU,1698722082
291,tianshui,34.5439,105.6897,15.62,60,14,2.51,CN,1698722082
292,mareeba,-17.0,145.4333,31.91,40,67,3.93,AU,1698722082
